Expt,ClogP,Polarizability,Name,SLN
0.4,1.65,90.554,"2,5-dimethylpyridine",N[1]=C(CH=CHC(=CH@1)CH3)CH3
0.45,1.65,90.554,"2,6-dimethylpyridine",N[1]=C(CH=CHCH=C@1CH3)CH3
-1.42,1.28,125.919,"2,2´-bipyridine",N[1]=C(CH=CHCH=CH@1)C[11]N=CHCH=CHCH=@11
0.51,1.72,90.554,2-ethyl pyridine,N[1]=C(CH=CHCH=CH@1)CH2CH3
1.02,-0.64,69.893,2-hydroxypyridine,N[1]=C(CH=CHCH=CH@1)OH
-3.14,2.83,278.211,noscapine,N[1](CH2CH2C[8]=C(C(=C[11]C(=CH@8)OCH2O@11)OCH3)CH@1C[27]HOC(C[31]=C@27CH=CHC(=C@31OCH3)OCH3)=O)CH3
-4.11,2.66,261.42,hydrastine,N[1](CH2CH2C[8]=C(CH=C[12]C(=CH@8)OCH2O@12)CH@1C[23]HOC(C[27]=C@23CH=CHC(=C@27OCH3)OCH3)=O)CH3
-1.89,2.35,191.602,meperidine,N[1](CH2CH2C(CH2CH2@1)(C[15]=CHCH=CHCH=CH@15)C(=O)OCH2CH3)CH3
1,-0.4,71.205,N-methylpyrrolidone,N[1](CH2CH2CH2C@1=O)CH3
-1.42,-0.13,357.608,rolitetracycline,N[1](CH2CH2CH2CH2@1)CH2NHC(=O)C[21]=C(CH(C[25]HCH2C[30]HC(C[33]=C(C(=CHCH=CH@33)OH)C(C@30=C(C@25(C@21=O)OH)OH)=O)(OH)CH3)N(CH3)CH3)OH
0.23,1.32,83.101,N-methylpiperidine,N[1](CH2CH2CH2CH2CH2@1)CH3
-3.46,2.66,212.783,piperine,N[1](CH2CH2CH2CH2CH2@1)C(=O)CH=[S=N]CHCH=[S=N]CHC[27]=CHC[30]=C(CH=CH@27)OCH2O@30
-3.46,2.66,212.783,piperine,N[1](CH2CH2CH2CH2CH2@1)C(=O)CH=[S=I]CHCH=[S=I]CHC[27]=CHC[30]=C(CH=CH@27)OCH2O@30
-0.17,0.41,77.868,N-nitrosopiperidine,N[1](CH2CH2CH2CH2CH2@1)N=O
-2.07,-1.83,144.61,vasicinone,N[1]CH2CH2CH(C@1=NC[12]=C(CH=CHCH=CH@12)CH@1OH)OH
0.81,1.28,112.308,arecoline,N[1](CH2CH2CH=C(CH2@1)C(=O)OCH3)CH3
-3.64,-0.77,295.934,trimazosin,N[1](CH2CH2N(CH2CH2@1)C(=O)OCH2C(OH)(CH3)CH3)C[32]=NC[34]=C(C(=N@32)NH2)CH=C(C(=C@34OCH3)OCH3)OCH3
-2.15,-0.72,128.697,Isocarbamid,N[1](CH2CH2NHC@1=O)C(=O)NHCH2CH(CH3)CH3
-2.98,0.99,205.046,pipedemic acid,N[1](CH2CH2NHCH2CH2@1)C[16]=NC[18]=C(CH=N@16)C(C(=CHN@18CH2CH3)C(=O)OH)=O
1,-0.33,74.924,N-methylmorpholine,N[1](CH2CH2OCH2CH2@1)CH3
0.72,-3.25,85.685,betaine,N[+1](CH2C(=O)OH)(CH3)(CH3)CH3
-1.45,1.96,107.428,isoquinoline,N[1]=CHC[4]=C(CH=CH@1)CH=CHCH=CH@4
-1.89,3.21,184.837,sparteine,N[1]CH(C[4]HCH2N[9]CH(CH(CH2@1)CH2@4)CH2CH2CH2CH2@9)CH2CH2CH2CH2@1
0.36,1.65,90.554,"3,4-dimethylpyridine",N[1]=CHC(=C(CH=CH@1)CH3)CH3
0.38,1.65,90.554,"3,5-dimethylpyridine",N[1]=CHC(=CHC(=CH@1)CH3)CH3
0.96,-0.46,82.377,3-pyridinemethanol,N[1]=CHC(=CHCH=CH@1)CH2OH
-0.46,0.88,95.449,methyl nicotinate,N[1]=CHC(=CHCH=CH@1)C(=O)OCH3
-0.84,0.15,82.965,nicotinic acid,N[1]=CHC(=CHCH=CH@1)C(=O)OH
-0.46,0.64,69.893,3-hydroxypyridine,N[1]=CHC(=CHCH=CH@1)OH
0.79,0.72,130.95,nicotine,N[1](CH(CH2CH2CH2@1)C[13]=CHN=CHCH=CH@13)CH3
-1.55,2.04,197.021,"d,l-mepivacaine",N[1](CH(CH2CH2CH2CH2@1)C(=O)NHC[20]=C(CH=CHCH=C@20CH3)CH3)CH3
-2.63,3.68,232.737,hydrocinchonine,N[1]CH(CH2CH(CH(CH2@1)CH2CH3)CH2CH2@1)CH(OH)C[31]C[32]=C(N=CHCH=@31)CH=CHCH=CH@32
-2.76,3.44,248.872,quinidine,N[1]CH(CH2CH(CH(CH2@1)CH=CH2)CH2CH2@1)CH(OH)C[29]C[30]=C(N=CHCH=@29)CH=CHC(=CH@30)OCH3
-3.07,3.35,232.081,cinchonidine,N[1]CH(CH2CH(CH(CH2@1)CH=CH2)CH2CH2@1)CH(OH)C[29]C[30]=C(N=CHCH=@29)CH=CHCH=CH@30
-1.54,1.2,125.919,"4,4´-bipyridine",N[1]=CHCH=C(CH=CH@1)C[11]=CHCH=NCH=CH@11
1.02,-1.3,69.893,4-hydroxypyridine,N[1]=CHCH=C(CH=CH@1)OH
0.76,0.73,65.586,pyridine,N[1]=CHCH=CHCH=CH@1
-0.17,-1.1,160.848,dyphylline,N[1](CH=NC[5]=C@1C(N(C(N@5CH3)=O)CH3)=O)CH2CH(OH)CH2OH
-0.97,-0.13,127.266,caffeine,N[1](CH=NC[5]=C@1C(N(C(N@5CH3)=O)CH3)=O)CH3
-2.52,-0.72,114.782,theobromine,N[1](CH=NC[5]=C@1C(NHC(N@5CH3)=O)=O)CH3
-1.23,-2.32,158.373,Inosine,N[1](CH=NC[5]=C@1N=CHNHC@5=O)C[14]HOCH(CH(CH@14OH)OH)CH2OH
-4.74,3.26,184.469,etomidate,N[1](CH=NCH=C@1C(=O)OCH2CH3)CH(CH3)C[24]=CHCH=CHCH=CH@24
-2.6,0.82,190.171,ancymidol,N[1]=CHN=CHC(=CH@1)C(OH)(C[13]HCH2CH2@13)C[21]=CHCH=C(CH=CH@21)OCH3
1.1,-0.33,59.765,pyrimidine,N[1]=CHN=CHCH=CH@1
-1.16,1.59,87.423,benzoxazole,N[1]=CHOC[5]=C@1CH=CHCH=CH@5
-3.37,1,160.745,nalidixic acid,N[1](CH=C(C(C[6]=C@1N=C(CH=CH@6)CH3)=O)C(=O)OH)CH2CH3
0.96,-0.23,82.377,N-methyl-2-pyridone,N[1](CH=CHCH=CHC@1=O)CH3
-0.8,-1.2,80.863,1-methyluracil,N[1](CH=CHC(NHC@1=O)=O)CH3
-4.88,2.12,205.165,benomyl,N[1](C(=NC[4]=C@1CH=CHCH=CH@4)NHC(=O)OCH3)C(=O)NHCH2CH2CH2CH3
-4.59,2.86,167.171,lenacil,N[1](C(NHC[5]=C(CH2CH2CH2@5)C@1=O)=O)C[19]HCH2CH2CH2CH2CH2@19
-1.56,-0.62,106.605,1-methyluric acid,N[1](C(NHC[5]=C(NHC(NH@5)=O)C@1=O)=O)CH3
-2.23,1.18,132.043,metharbital,N[1](C(NHC(C(C@1=O)(CH2CH3)CH2CH3)=O)=O)CH3
-2.74,1.59,162.057,hexabarital,N[1](C(NHC(C(C@1=O)(CH3)C[13]=CHCH2CH2CH2CH2@13)=O)=O)CH3
-2.92,2.5,197.036,methaqualone,N[1](C(=NC[4]=C(CH=CHCH=CH@4)C@1=O)CH3)C[20]=C(CH=CHCH=CH@20)CH3
-7.42,6.18,224.189,"13H-dibenzo(a,i)carbazole",N[1]HC[3]=C(C[5]=C@1C[7]=C(CH=CH@5)CH=CHCH=CH@7)CH=CHC[25]=C@3CH=CHCH=CH@25
-4.97,3.72,140.505,carbazole,N[1]HC[3]=C(C[5]=C@1CH=CHCH=CH@5)CH=CHCH=CH@3
-2.57,2.26,158.325,etryptamine,N[1]HC[3]=C(C(=CH@1)CH2CH(NH2)CH2CH3)CH=CHCH=CH@3
-1.23,1.04,150.736,tryptophan,N[1]HC[3]=C(C(=CH@1)CH2CH(NH2)C(=O)OH)CH=CHCH=CH@3
-2.07,1.43,128.526,indole-3-acetic acid,N[1]HC[3]=C(C(=CH@1)CH2C(=O)OH)CH=CHCH=CH@3
-2.42,2.6,111.147,3-methylindole,N[1]HC[3]=C(C(=CH@1)CH3)CH=CHCH=CH@3
-1.52,2.14,98.663,indole,N[1]HC[3]=C(CH=CH@1)CH=CHCH=CH@3
-2.14,1.26,111.735,2-(1H)quinolinone,N[1]HC[3]=C(CH=CHCH=CH@3)CH=CHC@1=O
-2.12,-2.56E-02,90.926,adenine,N[1]HC[3]N=CHN=C(C=@3N=CH@1)NH2
-3.93,-1.08,94.121,uric acid,N[1]HC[3]=C(NHC@1=O)C(NHC(NH@3)=O)=O
-2.61,1.15,100.495,phthalimide,N[1]HC(C[4]=C(CH=CHCH=CH@4)C@1=O)=O
-3.93,4.64,389.102,norbormide,N[1]HC(C[4]HCH(C[8]HCH=C(CH@4C@8=[S=I]C(C[17]N=CHCH=CHCH=@17)C[27]=CHCH=CHCH=CH@27)C(OH)(C[41]N=CHCH=CHCH=@41)C[51]=CHCH=CHCH=CH@51)C@1=O)=O
-2.93,0.14,101.151,phthalamide,N[1]HC(C[4]HCH(CH=CHCH=CH@4)C@1=O)=O
-2.34,2.7,162.915,2-ethyl-2-phenylgluterimide,N[1]HC(C(CH2CH2C@1=O)(CH2CH3)C[20]=CHCH=CHCH=CH@20)=O
0.3,-1.18,59.309,succinimide,N[1]HC(CH2CH2C@1=O)=O
-1.13,0.56,194.746,cycloheximide,N[1]HC(CH2CH(CH2C@1=O)CH2CH(OH)C[21]HCH2CH(CH2CH(C@21=O)CH3)CH3)=O
-6.52,5.42,306.11,3-octanoyloxymethylphenytoin,N[1]HC(C(N(C@1=O)CH2OC(=O)CH2CH2CH2CH2CH2CH2CH3)=O)(C[37]=CHCH=CHCH=CH@37)C[48]=CHCH=CHCH=CH@48
-6.3,4.89,293.626,3-heptanoyloxymethylphenytoin,N[1]HC(C(N(C@1=O)CH2OC(=O)CH2CH2CH2CH2CH2CH3)=O)(C[34]=CHCH=CHCH=CH@34)C[45]=CHCH=CHCH=CH@45
-5.89,4.36,281.142,3-hexanoyloxymethylphenyltoin,N[1]HC(C(N(C@1=O)CH2OC(=O)CH2CH2CH2CH2CH3)=O)(C[31]=CHCH=CHCH=CH@31)C[42]=CHCH=CHCH=CH@42
-4.68,3.83,268.658,3-pentanoyloxymethylphenytoin,N[1]HC(C(N(C@1=O)CH2OC(=O)CH2CH2CH2CH3)=O)(C[28]=CHCH=CHCH=CH@28)C[39]=CHCH=CHCH=CH@39
-5.07,3.3,256.174,3-butanoyloxymethylphenytoin,N[1]HC(C(N(C@1=O)CH2OC(=O)CH2CH2CH3)=O)(C[25]=CHCH=CHCH=CH@25)C[36]=CHCH=CHCH=CH@36
-4.91,2.77,243.69,3-propanoyloxymethylphenytoin,N[1]HC(C(N(C@1=O)CH2OC(=O)CH2CH3)=O)(C[22]=CHCH=CHCH=CH@22)C[33]=CHCH=CHCH=CH@33
-4.47,2.24,231.206,3-ethanoyloxymethylphenytoin,N[1]HC(C(N(C@1=O)CH2OC(=O)CH3)=O)(C[19]=CHCH=CHCH=CH@19)C[30]=CHCH=CHCH=CH@30
-4.1,2.52,188.859,phenytoin,N[1]HC(C(NHC@1=O)=O)(C[10]=CHCH=CHCH=CH@10)C[21]=CHCH=CHCH=CH@21
0.36,0.14,140.959,cytisine,N[1]HCH2C[6]HCH2N[11]C(=CHCH=CHC@11=O)CH(CH2@1)CH2@6
-1.04,1.63,99.319,indoline,N[1]HCH2CH2C[9]=C@1CH=CHCH=CH@9
1.07,-1.45,58.721,pyrrolidone,N[1]HCH2CH2CH2C@1=O
1.15,0.37,58.133,pyrrolidine,N[1]HCH2CH2CH2CH2@1
1.07,0.93,70.617,piperidine,N[1]HCH2CH2CH2CH2CH2@1
1.07,-1.17,67.859,piperazine,N[1]HCH2CH2NHCH2CH2@1
-2.6,4.39,218.658,antazoline,N[1]HCH2CH2N=C@1CH2N(CH2C[18]=CHCH=CHCH=CH@18)C[29]=CHCH=CHCH=CH@29
1.06,-1.08,62.44,morpholine,N[1]HCH2CH2OCH2CH2@1
-0.4,-1.69,56.551,hydantoin,N[1]HCH2C(NHC@1=O)=O
-0.83,-2.56,69.035,"2,5-Piperazinedione",N[1]HCH2C(NHCH2C@1=O)=O
-2.64,0.4,160.157,primidone,N[1]HCH2NHC(C(C@1=O)(CH2CH3)C[19]=CHCH=CHCH=CH@19)=O
-1.5,2.49,108.069,2-propylpiperidine,N[1]HCH(CH2CH2CH2CH2@1)CH2CH2CH3
-1.5,1.96,95.585,coniine,N[1]HCH(CH2CH2CH2CH2@1)CH2CH3
-0.45,0.45,108.657,pelletierine,N[1]HCH(CH2CH2CH2CH2@1)CH2C(=O)CH3
0.74,-0.68,80.343,2-methylpiperazine,N[1]HCH(CH2NHCH2CH2@1)CH3
0.49,-0.19,92.827,"trans-2,5-dimethylpiperazine",N[1]HCH(CH2NHCH(CH2@1)CH3)CH3
-0.17,0.75,56.821,pyrrole,N[1]HCH=CHCH=CH@1
-1.61,0.42,187.732,anisomycin,N[1]HCH(CH(CH(CH2@1)OH)OC(=O)CH3)CH2C[24]=CHCH=C(CH=CH@24)OCH3
-0.06,-0.67,81.519,5-ethylhydantoin,N[1]HCH(C(NHC@1=O)=O)CH2CH3
-1.6,-2.89,89.075,allantoin,N[1]HCH(C(NHC@1=O)=O)NHC(=O)NH2
-1.39,-0.17,114.782,theophylline,N[1]HCH=NC[6]=C@1C(N(C(N@6CH3)=O)CH3)=O
-2.29,-1.19,85.507,hypoxanthine,N[1]HCH=NC[6]=C@1C(NHCH=N@6)=O
-3.58,-0.98,95.233,guanine,N[1]HCH=NC[6]=C@1N=C(NHC@6=O)NH2
-2.12,-2.56E-02,90.926,adenine,N[1]HCH=NC[6]N=CHN=C(C@1=@6)NH2
-3.4,-2.14,95.233,isoguanine,N[1]HCH=NC[6]N=C(N=C(C@1=@6)NH2)OH
-0.53,-1.27,103.073,histidine,N[1]HCH=NC(=CH@1)CH2CH(NH2)C(=O)OH
-1.96,9.21E-03,92.691,urocanic acid,N[1]HCH=NC(=CH@1)CH=[S=I]CHC(=O)OH
-1.96,9.21E-03,92.691,urocanic acid,N[1]HCH=NC(=CH@1)CH=[S=N]CHC(=O)OH
-1.52,-0.12,80.863,5-methyluracil,N[1]HCH=C(C(NHC@1=O)=O)CH3
-1.46,-1.12,86.282,5-methylcytosine,N[1]HCH=C(C(=NC@1=O)NH2)CH3
-2.29,-1.19,85.507,hypoxanthine,N[1]HCH=NC[6]N=CHNHC=@6C@1=O
0.59,-1.38,64.072,3H-pyrimidin-4-one,N[1]HCH=NCH=CHC@1=O
-1.48,-0.71,68.379,uracil,N[1]HCH=CHC(NHC@1=O)=O
-1.14,-1.71,73.798,cytosine,N[1]HCH=CHC(=NC@1=O)NH2
-3.88,2.83,211.657,mebendazole,N[1]HC(=NC[5]=C@1CH=C(CH=CH@5)C(=O)C[16]=CHCH=CHCH=CH@16)NHC(=O)OCH3
-3.36,2.83,211.657,mebendazole,N[1]HC(=NC[5]=C@1CH=CHC(=CH@5)C(=O)C[16]=CHCH=CHCH=CH@16)NHC(=O)OCH3
-1.96,1.57,105.326,2-methylbenzimidazole,N[1]HC(=NC[5]=C@1CH=CHCH=CH@5)CH3
-0.4,-1.99,57.139,parabanic acid,N[1]HC(NHC(C@1=O)=O)=O
-1.89,-1.07,87.809,cyclopropyl-5-spirobarbituric acid,N[1]HC(NHC(C[7](CH2CH2@7)C@1=O)=O)=O
-1.65,-0.5,100.293,cyclobutyl-5-spirobarbituric acid,N[1]HC(NHC(C[7](CH2CH2CH2@7)C@1=O)=O)=O
-2.35,6.02E-02,112.777,cyclopentyl-5-spirobarbituric acid,N[1]HC(NHC(C[7](CH2CH2CH2CH2@7)C@1=O)=O)=O
-3.06,0.62,125.261,cyclohexyl-5-spirobarbituric acid,N[1]HC(NHC(C[7](CH2CH2CH2CH2CH2@7)C@1=O)=O)=O
-3.17,1.19,137.745,cycloheptyl-5-spirobarbituric acid,N[1]HC(NHC(C[7](CH2CH2CH2CH2CH2CH2@7)C@1=O)=O)=O
-2.98,1.75,150.229,cyclooctyl-5-spirobarbituric acid,N[1]HC(NHC(C[7](CH2CH2CH2CH2CH2CH2CH2@7)C@1=O)=O)=O
-1.64,1.71,144.527,5-butyl-5-ethylbarbituric acid,N[1]HC(NHC(C(C@1=O)(CH2CH2CH2CH3)CH2CH3)=O)=O
-2.57,2.05,157.011,amobarbital,N[1]HC(NHC(C(C@1=O)(CH2CH2CH(CH3)CH3)CH2CH3)=O)=O
-2.32,1.67,160.745,phenobarbital,N[1]HC(NHC(C(C@1=O)(CH2CH3)C[17]=CHCH=CHCH=CH@17)=O)=O
-2.64,2.04,180.243,reposal,N[1]HC(NHC(C(C@1=O)(CH2CH3)C[17]=CHC[20]HCH2CH(CH2CH2@20)CH2@17)=O)=O
-2.7,2.04,180.243,reposal,N[1]HC(NHC(C(C@1=O)(CH2CH3)C[17]=CHCH2C[23]HCH2CH@17CH2CH2@23)=O)=O
-2.17,1.62,162.057,cyclobarbital,N[1]HC(NHC(C(C@1=O)(CH2CH3)C[17]=CHCH2CH2CH2CH2@17)=O)=O
-3,2.18,174.541,heptabarbital,N[1]HC(NHC(C(C@1=O)(CH2CH3)C[17]=CHCH2CH2CH2CH2CH2@17)=O)=O
-1.39,0.64,119.559,barbital,N[1]HC(NHC(C(C@1=O)(CH2CH3)CH2CH3)=O)=O
-2.25,1.84,156.355,5-(3-Methyl-2-butenyl)-5-ethylbarbital,N[1]HC(NHC(C(C@1=O)(CH2CH3)CH2CH=C(CH3)CH3)=O)=O
-1.61,0.77,131.387,5-allyl-5-ethylbarbital,N[1]HC(NHC(C(C@1=O)(CH2CH3)CH2CH=CH2)=O)=O
-1.23,0.11,107.075,5-methyl-5-ethylbarbituric acid,N[1]HC(NHC(C(C@1=O)(CH2CH3)CH3)=O)=O
-2.18,1.69,172.573,phenallymal,N[1]HC(NHC(C(C@1=O)(CH2CH=CH2)C[18]=CHCH=CHCH=CH@18)=O)=O
-2.06,1.11,143.215,allobarbital,N[1]HC(NHC(C(C@1=O)(CH2CH=CH2)CH2CH=CH2)=O)=O
-1.16,0.24,118.903,5-allyl-5-methylbarbital,N[1]HC(NHC(C(C@1=O)(CH2CH=CH2)CH3)=O)=O
-1.74,-0.42,94.591,"5,5-dimethylbarbituric acid",N[1]HC(NHC(C(C@1=O)(CH3)CH3)=O)=O
-2.52,2.05,157.011,pentobarbital,N[1]HC(NHC(C(C@1=O)(CH(CH2CH2CH3)CH3)CH2CH3)=O)=O
-2.36,2.18,168.839,secobarbital,N[1]HC(NHC(C(C@1=O)(CH(CH2CH2CH3)CH3)CH2CH=CH2)=O)=O
-2.39,1.52,144.527,butabarbital,N[1]HC(NHC(C(C@1=O)(CH(CH2CH3)CH3)CH2CH3)=O)=O
-2.02,1.65,156.355,talbutal,N[1]HC(NHC(C(C@1=O)(CH(CH2CH3)CH3)CH2CH=CH2)=O)=O
-2.21,0.99,132.043,probarbital,N[1]HC(NHC(C(C@1=O)(CH(CH3)CH3)CH2CH3)=O)=O
-2.59,2.19,168.839,5-(3-methyl-2-butenyl)-5-isoprbarbital,N[1]HC(NHC(C(C@1=O)(CH(CH3)CH3)CH2CH=C(CH3)CH3)=O)=O
-1.71,1.11,143.871,aprobarbital,N[1]HC(NHC(C(C@1=O)(CH(CH3)CH3)CH2CH=CH2)=O)=O
-2.77,1.34,144.527,"5,5-diisopropylbarbital",N[1]HC(NHC(C(C@1=O)(CH(CH3)CH3)CH(CH3)CH3)=O)=O
-1.99,-0.37,142.607,alloxanthin,N[1]HC(NHC(C(C@1=O)(OH)C[12](C(NHC(NHC@12=O)=O)=O)OH)=O)=O
-1.25,-1.84,70.211,alloxan,N[1]HC(NHC(C(C@1=O)=O)=O)=O
-3.03,2.2,161.186,ethirimol,N[1]HC(=NC(=C(C@1=O)CH2CH2CH2CH3)CH3)NHCH2CH3
-1.26,-0.12,80.863,6-methyluracil,N[1]HC(=CHC(NHC@1=O)=O)CH3
-1.93,-0.93,85.758,orotic acid,N[1]HC(=CHC(NHC@1=O)=O)C(=O)OH
-2.16,1.82,92.842,indazole,N[1]HN=CHC[6]=C@1CH=CHCH=CH@6
-2.38,-1.33,85.507,allopurinol,N[1]HN=CHC[6]=C@1N=CHN=C@6OH
-2.27,-0.48,85.507,allopurin,N[1]HN=CHC[6]=C@1N=CHNHC@6=O
0.52,-0.87,54.905,amitrole,N[1]HN=C(N=CH@1)NH2
-0.78,1.34,87.021,benzotriazole,N[1]HN=NC[5]=C@1CH=CHCH=CH@5
-3.54,1.72,219.044,apazone,N[1]N(C[3]=C(CH=CHC(=CH@3)CH3)N=C@1N(CH3)CH3)C(CH(C@1=O)CH2CH2CH3)=O
-3.73,2.72,243.102,oxyphenbutazone,N[1](N(C(CH(C@1=O)CH2CH2CH2CH3)=O)C[22]=CHCH=CHCH=CH@22)C[33]=CHCH=C(CH=CH@33)OH
-3.81,3.16,238.795,phenylbutazone,N[1](N(C(CH(C@1=O)CH2CH2CH2CH3)=O)C[22]=CHCH=CHCH=CH@22)C[33]=CHCH=CHCH=CH@33
-3.27,1.25,239.383,Kebuzone,N[1](N(C(CH(C@1=O)CH2CH2C(=O)CH3)=O)C[21]=CHCH=CHCH=CH@21)C[32]=CHCH=CHCH=CH@32
-2.09,2.16,181.711,pyrolan,N[1](N=C(CH=C@1OC(=O)N(CH3)CH3)CH3)C[23]=CHCH=CHCH=CH@23
0.71,0.27,146.429,antipyrine,N[1](N(C(CH=C@1CH3)=O)C[12]=CHCH=CHCH=CH@12)CH3
-0.63,0.76,181.123,aminopyrine,N[1](N(C(C(=C@1CH3)N(CH3)CH3)=O)C[20]=CHCH=CHCH=CH@20)CH3
-0.62,-0.4,156.155,aminophenazone,N[1](N(C(C(=C@1CH3)NH2)=O)C[14]=CHCH=CHCH=CH@14)CH3
1.1,2.45E-02,59.765,pyridazine,N[1]N=CHCH=CHCH=@1
-5.51,4.7,254.636,danazol,N[1]OC[3]=C(CH=@1)CH2C[10](C[11]HCH(C[15]HC(C(CH2CH2@15)(OH)C#CH)(CH2CH2@11)CH3)CH2CH2C@10=CH@3)CH3
-0.07,0.66,62.372,3-hydroxy-5-methylisoxazole,N[1]OC(=CHC=@1OH)CH3
-3.54,3.18,128.96,1-nitronaphthalene,N(=O)(=O)C[4]C[5]=C(CH=CHCH=@4)CH=CHCH=CH@5
-5.82,4.16,152.948,quintozene,N(=O)(=O)C[4]=C(C(=C(C(=C@4Cl)Cl)Cl)Cl)Cl
-4.47,3.57,195.112,medinoterb acetate,N(=O)(=O)C[4]=C(C(=CHC(=C@4CH3)N(=O)=O)C(CH3)(CH3)CH3)OC(=O)CH3
-5.47,5.86,186.027,dinitramine,N(=O)(=O)C[4]=C(C(=CHC(=C@4NH2)C(F)(F)F)N(=O)=O)N(CH2CH3)CH2CH3
-5.53,5.41,201.269,benfluralin,N(=O)(=O)C[4]=C(C(=CHC(=CH@4)C(F)(F)F)N(=O)=O)N(CH2CH2CH2CH3)CH2CH3
-5.68,5.41,201.269,trifluralin,N(=O)(=O)C[4]=C(C(=CHC(=CH@4)C(F)(F)F)N(=O)=O)N(CH2CH2CH3)CH2CH2CH3
-6.78,5.91,243.579,flumetralin,N(=O)(=O)C[4]=C(C(=CHC(=CH@4)C(F)(F)F)N(=O)=O)N(CH2CH3)CH2C[30]=C(CH=CHCH=C@30Cl)F
-6.12,5.1,200.613,ethalfluralin,N(=O)(=O)C[4]=C(C(=CHC(=CH@4)C(F)(F)F)N(=O)=O)N(CH2CH3)CH2C(=CH2)CH3
-6.49,5.3,224.911,Isopropalin,N(=O)(=O)C[4]=C(C(=CHC(=CH@4)CH(CH3)CH3)N(=O)=O)N(CH2CH2CH3)CH2CH2CH3
-1.46,2.2,119.62,DNOC,N(=O)(=O)C[4]=C(C(=CHC(=CH@4)N(=O)=O)CH3)OH
-3.38,3.61,157.072,dinoseb,N(=O)(=O)C[4]=C(C(=CHC(=CH@4)N(=O)=O)CH(CH2CH3)CH3)OH
-3.22,1.68,131.024,"2,4,6-trinitrotoluene",N(=O)(=O)C[4]=C(C(=CHC(=CH@4)N(=O)=O)N(=O)=O)CH3
-5.16,3.38,221.525,oryzalin,N(=O)(=O)C[4]=C(C(=CHC(=CH@4)S(=O)(=O)NH2)N(=O)=O)N(CH2CH2CH3)CH2CH2CH3
-3.48,2.9,113.45,"2,3-dichloronitrobenzene",N(=O)(=O)C[4]=C(C(=CHCH=CH@4)Cl)Cl
-3,2.08,115.313,"2,6-dinitrotoluene",N(=O)(=O)C[4]=C(C(=CHCH=CH@4)N(=O)=O)CH3
-4.04,3.24,174.421,fenitrothion,N(=O)(=O)C[4]=C(CH=C(CH=CH@4)OP(=S)(OCH3)OCH3)CH3
-2.82,2.08,115.313,"2,4-dinitrotoluene",N(=O)(=O)C[4]=C(CH=CHC(=CH@4)N(=O)=O)CH3
-4.76,2.97,235.864,nifedipine,N(=O)(=O)C[4]=C(CH=CHCH=CH@4)C[14]HC(=C(NHC(=C@14C(=O)OCH3)CH3)CH3)C(=O)OCH3
-2.33,2.41,99.602,2-nitrotoluene,N(=O)(=O)C[4]=C(CH=CHCH=CH@4)CH3
-2.55,2.34,100.284,o-chloronitrobenzene,N(=O)(=O)C[4]=C(CH=CHCH=CH@4)Cl
-3.1,1.84,102.829,"1,2-dinitrobenzene",N(=O)(=O)C[4]=C(CH=CHCH=CH@4)N(=O)=O
-1.96,1.83,96.844,2-nitroaniline,N(=O)(=O)C[4]=C(CH=CHCH=CH@4)NH2
-1.91,1,122.4,2-nitroacetanilide,N(=O)(=O)C[4]=C(CH=CHCH=CH@4)NHC(=O)CH3
-1.96,1.73,103.909,2-nitroanisole,N(=O)(=O)C[4]=C(CH=CHCH=CH@4)OCH3
-1.74,1.71,91.425,2-nitrophenol,N(=O)(=O)C[4]=C(CH=CHCH=CH@4)OH
-3.8,1.39,212.747,nimetazepam,N(=O)(=O)C[4]=CHC[7]=C(CH=CH@4)N(C(CH2N=C@7C[20]=CHCH=CHCH=CH@20)=O)CH3
-3.5,2.34,213.429,clonazepam,N(=O)(=O)C[4]=CHC[7]=C(CH=CH@4)NHC(CH2N=C@7C[21]=C(CH=CHCH=CH@21)Cl)=O
-3.8,2.18,200.263,nitrazepam,N(=O)(=O)C[4]=CHC[7]=C(CH=CH@4)NHC(CH2N=C@7C[21]=CHCH=CHCH=CH@21)=O
-3.2,3.16,113.45,"3,4-dichloronitrobenzene",N(=O)(=O)C[4]=CHC(=C(CH=CH@4)Cl)Cl
-4.7,5.4,206.709,niclosamide,N(=O)(=O)C[4]=CHC(=C(CH=CH@4)NHC(=O)C[17]=C(CH=CHC(=CH@17)Cl)OH)Cl
-4.31,3.46,175.103,dicaphton,N(=O)(=O)C[4]=CHC(=C(CH=CH@4)OP(=S)(OCH3)OCH3)Cl
-2.89,1.22,118.54,"1,3,5-trinitrobenzene",N(=O)(=O)C[4]=CHC(=CHC(=CH@4)N(=O)=O)N(=O)=O
-2.44,2.41,99.602,3-nitrotoluene,N(=O)(=O)C[4]=CHC(=CHCH=CH@4)CH3
-2.77,2.64,100.284,m-chloronitrobenzene ,N(=O)(=O)C[4]=CHC(=CHCH=CH@4)Cl
-1.68,1.82,104.497,3-nitrobenzoic acid,N(=O)(=O)C[4]=CHC(=CHCH=CH@4)C(=O)OH
-2.29,1.62,102.829,"1,3-dinitrobenzene",N(=O)(=O)C[4]=CHC(=CHCH=CH@4)N(=O)=O
-2.19,1.37,96.844,3-nitroaniline,N(=O)(=O)C[4]=CHC(=CHCH=CH@4)NH2
-1.01,1.93,91.425,3-nitrophenol,N(=O)(=O)C[4]=CHC(=CHCH=CH@4)OH
